|        kc |   z |                 kPpi |                   kepi |
|   0.00275 | 2.4 |  0.02210955800416431 |  0.0005608311433968794 |
|   0.00325 | 2.4 |  0.02438829869061829 |  0.0005308604373308298 |
|   0.00375 | 2.4 |  0.02278318925854791 |  0.0006568519466207807 |
|   0.00425 | 2.4 | 0.024064044367310022 |  0.0007882377739744169 |
|   0.00475 | 2.4 | 0.028270246907572714 |  0.0008270864610760184 |
|   0.00525 | 2.4 | 0.031159832223360547 |  0.0011100042667897489 |
|   0.00575 | 2.4 |  0.03544834970019037 |   0.001060353654123029 |
|   0.00625 | 2.4 |  0.03321603451063629 |  0.0010431611801279416 |
|   0.00675 | 2.4 | 0.032304506405066075 |  0.0010360939048799458 |
|   0.00725 | 2.4 | 0.035145135660358845 |   0.001226311197792558 |
|   0.00775 | 2.4 |   0.0387540376569448 |  0.0011490112334822554 |
|   0.00825 | 2.4 |  0.04151427775048186 |  0.0013253050949308875 |
|   0.00875 | 2.4 |  0.04278391243575599 |  0.0014677256915313856 |
|   0.00925 | 2.4 |  0.03932731376196181 |  0.0011871950508090905 |
|   0.00975 | 2.4 |  0.03722953224580332 |  0.0013189748662243506 |
| 0.0106101 | 2.4 |   0.0434263330333767 |  0.0010751464804453395 |
| 0.0119047 | 2.4 |  0.04265443976540987 |   0.001037241475076827 |
| 0.0133573 | 2.4 |  0.04453336614794233 |  0.0012456213084559126 |
| 0.0149871 | 2.4 |  0.04326223345560014 |  0.0011982027464313998 |
| 0.0168159 | 2.4 | 0.046300999623801964 |  0.0013140690959672205 |
| 0.0188677 | 2.4 |  0.04650998621671679 |  0.0015178996845918438 |
| 0.0211699 | 2.4 | 0.045409326052182446 |  0.0018802818150374068 |
|  0.023753 | 2.4 |  0.04575109477537231 |  0.0021437177994112306 |
|   0.00075 | 2.6 | 0.008177420764797357 |  0.0005873915569198272 |
|   0.00125 | 2.6 |  0.01285017010523963 |  0.0004652138775311874 |
|   0.00175 | 2.6 | 0.016404394421126373 | 0.00046162373990239194 |
|   0.00225 | 2.6 |  0.02272035488701523 |  0.0006866182977399002 |
|   0.00275 | 2.6 |  0.02605958474802628 |  0.0006941612871127976 |
|   0.00325 | 2.6 |  0.02987294514225525 |  0.0007607661984022679 |
|   0.00375 | 2.6 | 0.028526613689905136 |  0.0009432090906547271 |
|   0.00425 | 2.6 | 0.029307292559012352 |    0.00101840064985642 |
|   0.00475 | 2.6 |  0.03366284609787247 |   0.001173004477773131 |
|   0.00525 | 2.6 |  0.03617371426882599 |    0.00132445329767546 |
|   0.00575 | 2.6 |  0.04050029365029624 |  0.0014313810687269204 |
|   0.00625 | 2.6 |   0.0410806760235223 |  0.0014435194183491816 |
|   0.00675 | 2.6 |   0.0394487887722767 |     0.0012715988960043 |
|   0.00725 | 2.6 |  0.03981255331020754 |  0.0015794956721489456 |
|   0.00775 | 2.6 | 0.050717523743230866 |   0.001577442971270418 |
|   0.00825 | 2.6 | 0.048170805921345906 |  0.0019829169268274606 |
|   0.00875 | 2.6 |  0.04569780071135396 |  0.0021225623386852653 |
|   0.00925 | 2.6 |  0.05183292137315464 |   0.001755666825136454 |
|   0.00975 | 2.6 |  0.04955733991232104 |   0.002192265439674434 |
| 0.0106101 | 2.6 |  0.05222419881283016 |  0.0013961385553560395 |
| 0.0119047 | 2.6 |  0.05262317147039853 |  0.0014529254990408441 |
| 0.0133573 | 2.6 | 0.051854047622582354 |   0.001222087813298442 |
| 0.0149871 | 2.6 |   0.0560242922579044 |   0.001403450549536364 |
| 0.0168159 | 2.6 | 0.055060746574621414 |  0.0014702438673015515 |
| 0.0188677 | 2.6 |  0.05499854922297663 |   0.001948844101256747 |
| 0.0211699 | 2.6 |  0.05530891897218196 |  0.0020642318028054447 |
|  0.023753 | 2.6 |  0.05432717570337347 |  0.0024006796487068614 |
| 0.0266514 | 2.6 | 0.054350964387725846 |   0.002914261393671902 |
|   0.00075 | 2.8 | 0.009492167918690885 |  0.0007308721254413173 |
|   0.00125 | 2.8 | 0.015553138292505063 |  0.0005640053295819041 |
|   0.00175 | 2.8 | 0.019673062938117637 |  0.0005956286209995483 |
|   0.00225 | 2.8 | 0.027568150791617126 |  0.0008820255537692675 |
|   0.00275 | 2.8 | 0.030730376482668523 |   0.000783638036964118 |
|   0.00325 | 2.8 |  0.03547728406884448 |  0.0009727398128805991 |
|   0.00375 | 2.8 |  0.03417144163401693 |   0.000953061577406831 |
|   0.00425 | 2.8 |   0.0334404191071544 |    0.00106911370134575 |
|   0.00475 | 2.8 | 0.042042799485501416 |  0.0014156079385143267 |
|   0.00525 | 2.8 |  0.04781645539829896 |  0.0014740692892531424 |
|   0.00575 | 2.8 |  0.04892068830896484 |  0.0015637726757434256 |
|   0.00625 | 2.8 |  0.04662006381783572 |  0.0015225119954792668 |
|   0.00675 | 2.8 | 0.047463465650015434 |  0.0017142216842932511 |
|   0.00725 | 2.8 |  0.05020018264296351 |  0.0015493841935357313 |
|   0.00775 | 2.8 |  0.05522603314014946 |  0.0016575753365254554 |
|   0.00825 | 2.8 |  0.06004084418279556 |  0.0022654701085665675 |
|   0.00875 | 2.8 |  0.05663560480913714 |  0.0022372768449049688 |
|   0.00925 | 2.8 | 0.056957591174506356 |   0.002402974011087599 |
|   0.00975 | 2.8 |   0.0578282244174491 |  0.0027467747099992885 |
